옵션 ID,옵션명,상품명,등록상품ID,카테고리,판매방식,매출(원),주문,판매량,방문자,조회,장바구니,구매전환율,아이템위너 비율(%),총 매출(원),총 판매수,총 취소 금액(원),총 취소된 상품수,즉시 취소된 상품수
95205595762,"뉴진면 마라탕사리 국내생산 HACCP샤브면 떡당면 남사부, 400g, 2개",뉴진면 마라탕사리 국내생산 HACCP샤브면 떡당면 남사부,16130571326,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95205628426,"호영 일자 분모자 500g, 3개",호영 일자 분모자 500g,16130571217,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
95275891292,"푸른식품 장어구이양념 매운맛, 50g, 50개",푸른식품 장어구이양념 매운맛,16164094644,식품,판매자배송,14890,1,1,19,25,1,4.00%,100,14890,1,0,0,0
95275891294,"푸른식품 장어구이 소스 매운 맛, 50g, 20개",푸른식품 장어구이 소스 매운 맛,16164094644,식품,판매자배송,0,0,0,17,21,3,0.00%,100,0,0,0,0,0
95275891295,"푸른식품 장어구이 소스 매운 맛, 50g, 10개",푸른식품 장어구이 소스 매운 맛,16164094644,식품,판매자배송,5480,1,1,11,11,1,9.09%,100,5480,1,0,0,0
95281086509,"푸른식품 장어구이 순한맛 소스, 50g, 20개",푸른식품 장어구이 순한맛 소스,16165280685,식품,판매자배송,0,0,0,6,6,0,0.00%,35.7000000000000028421709430404007434844970703125,0,0,0,0,0
95281086510,"푸른식품 장어구이 순한맛 소스, 50g, 50개",푸른식품 장어구이 순한맛 소스,16165280685,식품,판매자배송,90840,6,6,83,110,8,5.45%,100,105980,7,-15140,-1,-1
95337473857,"국내생산 에어컨 실외기 알루미늄 커버 1+1, 1070x450, 은색",국내생산 에어컨 실외기 알루미늄 커버 1+1,16179722124,가구/홈데코,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95467428190,"(배터짐) 중국요리 동구일품선간장 중국간장 일품선간장 (일요일&당일발송), 1개, 1.2L",(배터짐) 중국요리 동구일품선간장 중국간장 일품선간장 (일요일&당일발송),16214745295,식품,판매자배송,-8920,-1,-1,16,25,5,-4.00%,10.0999999999999996447286321199499070644378662109375,0,0,-8920,-1,-1
95467428191,"(배터짐) 중국요리 동구일품선간장 중국간장 일품선간장 (일요일&당일발송), 6개, 1.2L",(배터짐) 중국요리 동구일품선간장 중국간장 일품선간장 (일요일&당일발송),16214745295,식품,판매자배송,0,0,0,5,11,0,0.00%,100,0,0,0,0,0
95581210884,"미미각 실곤약 말이 저칼로리 다이어트 스키야키, 1개, 1kg",미미각 실곤약 말이 저칼로리 다이어트 스키야키,16249442883,식품,판매자배송,27000,2,2,23,25,5,8.00%,85,27000,2,0,0,0
95581735140,"야생 삶은 죽순 +호인가 마라샹궈 소스 세트, 1개, 1.24kg",야생 삶은 죽순 +호인가 마라샹궈 소스 세트,16249602183,식품,판매자배송,0,0,0,2,2,0,0.00%,100,0,0,0,0,0
95581776617,"옛날 넓은 고구마 당면 중국식 훠궈 당면+호인가 마라훠궈 소스 세트, 1개, 540g",옛날 넓은 고구마 당면 중국식 훠궈 당면+호인가 마라훠궈 소스 세트,16249615003,식품,판매자배송,0,0,0,2,2,0,0.00%,50,0,0,0,0,0
95581784956,"옛날 넓은 고구마 당면 중국식 훠궈 당면+호인가 마라훠궈 소스 세트, 1개, 540g",옛날 넓은 고구마 당면 중국식 훠궈 당면+호인가 마라훠궈 소스 세트,16249617257,식품,판매자배송,0,0,0,2,2,0,0.00%,0,0,0,0,0,0
95592953590,"게알맛 잠두콩 스낵, 208g, 10개",게알맛 잠두콩 스낵,16253218145,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
95613243929,"비타민c 12가지맛 캔디, 4개, 200g",비타민c 12가지맛 캔디,16260007578,식품,판매자배송,0,0,0,1,1,0,0.00%,0,0,0,0,0,0
95613243930,"비타민c 12가지맛 캔디, 200g, 5개",비타민c 12가지맛 캔디,16260007578,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95613273857,"무설탕 12가지맛 미니 비타민c 캔디, 3개, 500g",무설탕 12가지맛 미니 비타민c 캔디,16260012713,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95613305840,"무설탕 12가지맛 비타팝스 비타민c 캔디 1kg, 1개",무설탕 12가지맛 비타팝스 비타민c 캔디 1kg,16260019176,식품,판매자배송,72000,3,3,75,94,0,3.19%,100,72000,3,0,0,0
95681543370,"해조궁 어포튀각, 3개, 90g",해조궁 어포튀각,16279654245,식품,판매자배송,12500,1,1,3,3,0,33.33%,0,12500,1,0,0,0
95681543371,"해조궁 어포튀각, 6개, 90g",해조궁 어포튀각,16279654245,식품,판매자배송,22500,1,1,4,7,4,14.29%,100,22500,1,0,0,0
95688469143,"푸른식품 장어구이양념 매운맛, 100개, 50g",푸른식품 장어구이양념 매운맛,16164094644,식품,판매자배송,0,0,0,2,2,0,0.00%,100,0,0,0,0,0
95698729238,"[한정특가] 미미각 마라훠궈 소스, 1kg, 4개",[한정특가] 미미각 마라훠궈 소스,16284170490,식품,판매자배송,0,0,0,2,2,0,0.00%,100,0,0,0,0,0
95700185559,"해피타임 초코포키, 20개, 20g",해피타임 초코포키,16284473052,식품,판매자배송,0,0,0,12,13,0,0.00%,100,0,0,0,0,0
95700441285,"디디안 소다 크래커 오리지널, 1개, 450g",디디안 소다 크래커 오리지널,16284527659,식품,판매자배송,7500,1,1,2,5,1,20.00%,100,7500,1,0,0,0
95700441286,"디디안 소다 크래커 오리지널, 5개, 450g",디디안 소다 크래커 오리지널,16284527659,식품,판매자배송,0,0,0,3,3,0,0.00%,75,0,0,0,0,0
95700441287,"디디안 소다 크래커 오리지널, 3개, 450g",디디안 소다 크래커 오리지널,16284527659,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95700442303,"디디안 소다 크래커 양파맛, 3개, 450g",디디안 소다 크래커 양파맛,16284527852,식품,판매자배송,0,0,0,1,1,0,0.00%,20,0,0,0,0,0
95700442304,"디디안 소다 크래커 양파맛, 5개, 450g",디디안 소다 크래커 양파맛,16284527852,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95700442305,"디디안 소다 크래커 양파맛, 1개, 450g",디디안 소다 크래커 양파맛,16284527852,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95700443658,"디디안 소다 크래커 커피맛, 450g, 1개",디디안 소다 크래커 커피맛,16284528067,식품,판매자배송,0,0,0,5,6,1,0.00%,100,0,0,0,0,0
95700443661,"디디안 소다 크래커 커피맛, 450g, 3개",디디안 소다 크래커 커피맛,16284528067,식품,판매자배송,0,0,0,1,1,0,0.00%,100,0,0,0,0,0
95700443663,"디디안 소다 크래커 커피맛, 450g, 5개",디디안 소다 크래커 커피맛,16284528067,식품,판매자배송,0,0,0,5,5,0,0.00%,100,0,0,0,0,0
